編號,交易日期,交易時段
522,2017/2/24,一般
523,2017/3/1,一般
524,2017/3/2,一般
525,2017/3/3,一般
526,2017/3/6,一般
527,2017/3/7,一般
528,2017/3/8,一般
529,2017/3/9,一般
530,2017/3/10,一般
531,2017/3/13,一般
532,2017/3/14,一般
533,2017/3/15,一般
534,2017/3/16,一般
535,2017/3/17,一般
536,2017/3/20,一般
537,2017/3/21,一般
538,2017/3/22,一般
539,2017/3/23,一般
540,2017/3/24,一般
541,2017/3/27,一般
542,2017/3/28,一般
543,2017/3/29,一般
544,2017/3/30,一般
545,2017/3/31,一般
546,2017/4/5,一般
547,2017/4/6,一般
548,2017/4/7,一般
549,2017/4/10,一般
550,2017/4/11,一般
551,2017/4/12,一般
552,2017/4/13,一般
553,2017/4/14,一般
554,2017/4/17,一般
555,2017/4/18,一般
556,2017/4/19,一般
557,2017/4/20,一般
558,2017/4/21,一般
559,2017/4/24,一般
560,2017/4/25,一般
561,2017/4/26,一般
562,2017/4/27,一般
563,2017/4/28,一般
564,2017/5/2,一般
565,2017/5/3,一般
566,2017/5/4,一般
567,2017/5/5,一般
568,2017/5/8,一般
569,2017/5/9,一般
570,2017/5/10,一般
571,2017/5/11,一般
572,2017/5/12,一般
573,2017/5/15,一般
574,2017/5/16,盤後
575,2017/5/16,一般
576,2017/5/17,盤後
577,2017/5/17,一般
578,2017/5/18,盤後
579,2017/5/18,一般
580,2017/5/19,盤後
581,2017/5/19,一般
582,2017/5/22,盤後
583,2017/5/22,一般
584,2017/5/23,盤後
585,2017/5/23,一般
586,2017/5/24,盤後
587,2017/5/24,一般
588,2017/5/25,盤後
589,2017/5/25,一般
590,2017/5/26,盤後
591,2017/5/26,一般
592,2017/5/31,盤後
593,2017/5/31,一般
594,2017/6/1,盤後
595,2017/6/1,一般
596,2017/6/2,盤後
597,2017/6/2,一般
598,2017/6/3,盤後
599,2017/6/3,一般
600,2017/6/5,一般
601,2017/6/6,盤後
602,2017/6/6,一般
603,2017/6/7,盤後
604,2017/6/7,一般
605,2017/6/8,盤後
606,2017/6/8,一般
607,2017/6/9,盤後
608,2017/6/9,一般
609,2017/6/12,盤後
610,2017/6/12,一般
611,2017/6/13,盤後
612,2017/6/13,一般
613,2017/6/14,盤後
614,2017/6/14,一般
615,2017/6/15,盤後
616,2017/6/15,一般
617,2017/6/16,盤後
618,2017/6/16,一般
619,2017/6/19,盤後
620,2017/6/19,一般
621,2017/6/20,盤後
622,2017/6/20,一般
623,2017/6/21,盤後
624,2017/6/21,一般
625,2017/6/22,盤後
626,2017/6/22,一般
627,2017/6/23,盤後
