編號,交易日期,契約,到期月份(週別),收盤價,交易時段,類型,剩餘天數,價平
119,2015/7/3,MTX,201507W2,9367,一般,近週,3,9350
119,2015/7/3,MTX,201507,9308,一般,近月,7,9300
119,2015/7/3,MTX,201508,9163,一般,遠月,32,9200
120,2015/7/6,MTX,201507W2,9262,一般,近週,2,9250
120,2015/7/6,MTX,201507,9201,一般,近月,6,9200
120,2015/7/6,MTX,201508,9052,一般,遠月,31,9100
121,2015/7/7,MTX,201507W2,9273,一般,近週,1,9250
121,2015/7/7,MTX,201507,9245,一般,近月,5,9250
121,2015/7/7,MTX,201508,9108,一般,遠月,30,9100
122,2015/7/8,MTX,201507W2,8992,一般,近週,0,9000
122,2015/7/8,MTX,201507,8945,一般,近月,4,8950
122,2015/7/8,MTX,201508,8815,一般,遠月,29,8800
123,2015/7/9,MTX,201507,8876,一般,近月,3,8900
123,2015/7/9,MTX,201508,8744,一般,遠月,28,8700
124,2015/7/13,MTX,201507,8992,一般,近月,2,9000
124,2015/7/13,MTX,201508,8858,一般,遠月,27,8900
125,2015/7/14,MTX,201507,8984,一般,近月,1,9000
125,2015/7/14,MTX,201508,8846,一般,遠月,26,8800
126,2015/7/15,MTX,201507,9030,一般,近月,0,9050
126,2015/7/15,MTX,201507W4,8996,一般,遠週,5,9000
126,2015/7/15,MTX,201508,8888,一般,遠月,25,8900
127,2015/7/16,MTX,201507W4,9030,一般,近週,4,9050
127,2015/7/16,MTX,201508,8918,一般,近月,24,8900
127,2015/7/16,MTX,201509,8871,一般,遠月,44,8900
128,2015/7/17,MTX,201507W4,9026,一般,近週,3,9050
128,2015/7/17,MTX,201508,8912,一般,近月,23,8900
128,2015/7/17,MTX,201509,8867,一般,遠月,43,8900
129,2015/7/20,MTX,201507W4,8965,一般,近週,2,8950
129,2015/7/20,MTX,201508,8850,一般,近月,22,8900
129,2015/7/20,MTX,201509,8807,一般,遠月,42,8800
130,2015/7/21,MTX,201507W4,9047,一般,近週,1,9050
130,2015/7/21,MTX,201508,8937,一般,近月,21,8900
130,2015/7/21,MTX,201509,8892,一般,遠月,41,8900
131,2015/7/22,MTX,201507W4,8906,一般,近週,0,8900
131,2015/7/22,MTX,201508,8810,一般,近月,20,8800
131,2015/7/22,MTX,201507W5,8896,一般,遠週,5,8900
131,2015/7/22,MTX,201509,8768,一般,遠月,40,8800
132,2015/7/23,MTX,201507W5,8827,一般,近週,4,8850
132,2015/7/23,MTX,201508,8752,一般,近月,19,8800
132,2015/7/23,MTX,201509,8709,一般,遠月,39,8700
133,2015/7/24,MTX,201507W5,8758,一般,近週,3,8750
133,2015/7/24,MTX,201508,8683,一般,近月,18,8700
133,2015/7/24,MTX,201509,8640,一般,遠月,38,8600
134,2015/7/27,MTX,201507W5,8585,一般,近週,2,8600
134,2015/7/27,MTX,201508,8524,一般,近月,17,8500
134,2015/7/27,MTX,201509,8481,一般,遠月,37,8500
135,2015/7/28,MTX,201507W5,8596,一般,近週,1,8600
135,2015/7/28,MTX,201508,8541,一般,近月,16,8500
135,2015/7/28,MTX,201509,8498,一般,遠月,36,8500
136,2015/7/29,MTX,201507W5,8553,一般,近週,0,8550
136,2015/7/29,MTX,201508,8486,一般,近月,15,8500
136,2015/7/29,MTX,201508W1,8534,一般,遠週,5,8550
136,2015/7/29,MTX,201509,8441,一般,遠月,35,8400
137,2015/7/30,MTX,201508W1,8655,一般,近週,4,8650
137,2015/7/30,MTX,201508,8610,一般,近月,14,8600
137,2015/7/30,MTX,201509,8562,一般,遠月,34,8600
138,2015/7/31,MTX,201508W1,8636,一般,近週,3,8650
138,2015/7/31,MTX,201508,8575,一般,近月,13,8600
138,2015/7/31,MTX,201509,8530,一般,遠月,33,8500
139,2015/8/3,MTX,201508W1,8514,一般,近週,2,8500
139,2015/8/3,MTX,201508,8455,一般,近月,12,8500
139,2015/8/3,MTX,201509,8405,一般,遠月,32,8400
140,2015/8/4,MTX,201508W1,8499,一般,近週,1,8500
140,2015/8/4,MTX,201508,8461,一般,近月,11,8500
140,2015/8/4,MTX,201509,8415,一般,遠月,31,8400
141,2015/8/5,MTX,201508W1,8547,一般,近週,0,8550
141,2015/8/5,MTX,201508,8524,一般,近月,10,8500
141,2015/8/5,MTX,201508W2,8528,一般,遠週,5,8550
141,2015/8/5,MTX,201509,8477,一般,遠月,30,8500
142,2015/8/6,MTX,201508W2,8413,一般,近週,4,8400
142,2015/8/6,MTX,201508,8390,一般,近月,9,8400
142,2015/8/6,MTX,201509,8343,一般,遠月,29,8300
143,2015/8/7,MTX,201508W2,8402,一般,近週,3,8400
143,2015/8/7,MTX,201508,8391,一般,近月,8,8400
143,2015/8/7,MTX,201509,8340,一般,遠月,28,8300
144,2015/8/10,MTX,201508W2,8454,一般,近週,2,8450
144,2015/8/10,MTX,201508,8445,一般,近月,7,8400
144,2015/8/10,MTX,201509,8394,一般,遠月,27,8400
